Month,New_Customers,Referral_Percentage,Campaign_Percentage,Partnership_Percentage,Energy_Discharged_kWh,Outage_Avoidance_Percentage,Avg_Savings_Per_Customer,Total_Savings
March,206,43.1,39.01,22.1,1778,95.96,20.46,2740
April,70,48.71,12.33,23.85,1307,88.63,45.42,1856
October,20,23.61,31.57,19.08,1044,95.48,24.45,1154
December,38,41.78,10.14,18.91,1652,98.17,26.02,1543
June,222,23.09,18.75,26.67,561,84.65,48.4,4083
April,131,22.19,21.37,19.88,1614,92.58,30.26,9646
January,196,25.06,35.86,28.01,587,86.14,40.13,8607
April,20,39.48,21.86,13.82,1178,92.43,20.01,5885
April,221,28.49,38.74,26.77,939,93.61,41.51,4000
August,115,25.16,10.95,25.46,1428,86.95,49.9,8532
February,93,38.73,39.33,20.75,1170,97.38,50.0,6999
December,275,42.85,22.71,22.55,1906,81.92,46.76,2120
December,117,47.15,11.96,29.57,865,88.62,43.08,8154
February,56,32.71,21.82,19.19,970,90.89,27.67,2630
January,175,38.92,34.35,16.52,1318,96.43,21.1,1156
January,59,37.91,30.94,27.4,549,85.25,41.06,6359
March,133,28.66,36.28,12.69,849,88.81,46.28,6193
September,253,38.82,39.21,11.65,1334,92.83,35.31,8080
February,34,31.29,22.09,24.93,594,88.87,30.09,2900
April,18,40.28,23.57,13.2,1103,86.95,33.26,7770
November,258,41.91,17.5,11.0,1998,97.52,47.32,6361
August,182,38.77,31.59,10.97,799,92.76,29.12,8254
January,92,45.86,29.23,20.25,1748,97.78,49.2,7358
April,209,20.21,34.2,29.67,993,98.45,27.43,7529
March,106,34.8,34.81,17.02,1768,98.52,28.42,4721
September,200,40.55,22.98,20.12,1142,89.7,34.33,1285
March,168,32.09,34.98,25.34,1347,93.42,41.09,8933
November,39,39.98,34.53,17.27,1308,90.84,38.88,7239
July,63,21.57,39.35,20.88,1836,80.2,36.66,7964
November,62,24.96,36.74,28.17,1814,84.1,39.63,3561
August,119,36.97,34.26,10.82,1186,85.24,42.02,1353
September,209,34.55,10.47,10.54,1077,99.47,27.14,8949
March,174,41.17,28.31,25.14,1005,98.35,29.72,6336
November,247,28.48,30.22,24.17,1712,86.65,20.24,7204
September,47,38.2,30.83,24.94,1784,92.97,44.76,4320
November,177,44.98,24.45,13.51,1249,91.95,39.91,9426
November,83,49.23,22.85,17.44,1234,93.79,29.03,6031
May,263,36.79,13.57,29.1,1877,84.04,39.76,6939
December,91,45.95,27.04,11.74,1627,87.93,42.18,5154
February,170,43.15,29.94,14.35,1955,89.98,47.36,8770
January,84,35.12,12.18,25.13,1968,97.87,46.67,2331
July,218,27.13,39.24,28.06,539,90.72,24.95,6586
May,110,45.86,27.56,23.23,1131,94.83,48.72,5369
August,238,22.77,24.34,19.57,927,90.48,48.24,8610
May,208,25.6,29.76,24.04,699,91.76,45.78,5439
April,242,24.07,14.0,28.83,1504,95.3,34.3,1116
October,157,42.02,11.02,26.67,652,85.43,41.0,6375
March,87,24.19,18.45,11.27,727,88.89,27.57,4490
August,162,32.4,38.16,26.73,1273,95.66,21.91,1074
May,181,35.33,30.13,15.14,1468,94.76,40.82,6940
August,192,20.17,16.43,28.69,728,89.98,43.71,9614
July,117,28.41,18.21,29.71,1972,83.33,22.72,1932
January,47,31.54,14.47,25.94,1143,80.83,37.29,1814
August,239,29.62,23.67,27.33,978,94.75,33.47,6291
December,238,36.69,24.2,11.97,1218,81.06,42.74,2707
May,242,21.89,15.15,15.66,1421,93.22,35.47,1201
July,98,22.25,32.25,25.66,980,93.54,43.17,2567
October,48,27.88,38.5,21.78,907,89.7,24.07,8934
June,131,43.77,29.47,15.0,693,94.18,45.85,5685
September,61,23.13,12.96,16.81,732,80.58,35.75,3586
March,91,30.57,10.67,29.0,752,86.95,38.7,3911
June,284,30.57,26.82,15.92,558,86.63,30.38,7394
February,12,44.96,25.59,28.01,1251,82.58,31.11,4712
December,63,42.34,21.26,11.66,1099,91.02,25.69,2136
September,29,34.72,15.6,23.6,1773,81.64,42.74,9753
November,213,47.38,26.28,27.46,1230,88.49,31.2,2892
September,145,22.74,35.96,14.5,1776,94.8,39.92,8543
October,137,27.24,11.41,15.99,1669,87.4,35.39,4296
July,187,24.86,16.43,14.77,1901,85.91,23.15,6037
July,114,31.6,38.6,24.44,1073,92.05,49.96,3530
March,289,28.11,13.03,17.85,1221,87.65,26.46,2359
February,295,38.87,24.82,27.34,1433,84.3,30.6,5584
October,23,32.71,34.0,17.53,1275,98.07,22.79,8117
April,150,47.1,23.98,13.42,1175,98.08,27.24,4619
May,115,28.49,19.47,21.86,1722,92.67,32.4,9234
May,40,36.85,25.24,15.63,743,92.57,46.38,1071
April,283,29.87,16.72,27.66,507,93.47,46.3,9104
November,29,34.94,14.89,10.79,972,86.16,44.02,8085
May,266,31.83,11.37,10.7,596,82.81,32.94,4625
September,87,29.76,12.21,28.1,1322,96.98,35.66,6769
January,264,22.2,18.48,11.74,1754,81.72,47.08,5787
August,71,36.15,35.21,12.04,861,80.23,47.51,9546
December,218,28.22,19.13,29.86,628,82.06,42.31,5228
April,159,34.43,23.42,22.56,933,84.74,38.13,8433
September,144,39.62,26.17,18.58,1018,93.66,32.7,5136
June,56,21.1,33.06,20.28,1888,94.33,38.91,3196
July,86,43.01,18.9,23.49,1508,89.62,36.28,1813
March,32,26.78,13.92,26.9,1846,99.69,22.24,7879
February,141,36.72,10.49,17.44,1380,94.09,40.02,6777
November,248,35.4,28.11,29.17,1795,91.24,41.76,8134
May,274,24.05,27.45,16.76,705,96.13,47.45,4370
November,136,31.38,19.8,24.98,1601,85.77,39.06,4695
September,18,37.94,27.98,22.48,1187,94.77,39.07,6941
August,245,28.45,37.01,22.87,974,90.34,27.85,1051
August,225,40.49,16.09,14.66,632,84.38,31.31,4081
May,226,26.41,24.97,16.88,1438,95.08,21.15,1592
May,48,42.83,29.84,29.53,563,80.94,28.48,9521
October,199,49.18,24.2,28.79,1430,98.59,20.89,9136
February,195,29.98,26.3,22.42,773,88.05,23.13,6191
July,298,40.19,34.87,22.81,1768,93.95,33.97,2493
August,227,37.74,25.18,28.08,1824,93.88,48.59,9750
August,141,29.02,21.05,29.76,537,80.66,34.87,7687
March,132,28.01,12.24,19.3,892,83.94,42.04,3813
July,12,38.55,10.86,29.46,1381,87.44,48.61,6426
December,28,42.86,15.78,23.54,1932,83.93,30.67,2704
November,280,42.26,28.88,24.47,1949,98.21,30.6,6362
May,160,47.06,13.7,13.61,748,88.34,33.63,5071
January,144,47.31,23.25,27.99,1130,97.49,23.47,4461
March,224,47.26,26.4,28.87,603,86.7,30.9,8855
February,186,40.33,26.64,28.84,1524,81.72,26.36,2323
September,161,37.02,38.9,26.91,931,90.61,42.45,4286
May,148,33.82,29.67,27.58,1963,84.1,33.58,7626
November,135,46.35,25.96,22.25,1562,93.31,48.61,6077
September,68,45.81,39.33,27.96,1039,91.13,20.95,5971
April,212,36.65,26.79,20.65,533,87.72,29.25,5533
June,203,39.45,38.48,26.22,1655,94.45,45.66,5493
August,198,33.28,22.18,18.58,646,93.11,32.98,8629
May,16,33.61,21.39,23.6,1103,84.48,24.7,1698
December,161,20.35,29.35,14.2,708,91.68,24.34,1057
June,124,44.25,27.61,29.6,1692,84.76,37.78,7344
October,95,35.97,12.88,15.68,1090,87.22,23.29,4685
November,277,24.86,25.63,23.55,648,91.14,46.58,1639
February,210,37.43,34.62,28.49,582,90.38,39.75,3302
December,109,35.21,16.4,11.6,1903,89.42,20.49,1399
August,211,40.28,27.26,17.61,1243,95.35,33.07,2799
May,276,30.83,26.03,21.06,1892,80.78,43.26,1868
November,140,23.84,35.8,19.08,1027,98.58,47.37,9391
June,267,44.94,37.47,13.45,739,94.79,34.22,4573
August,170,39.73,32.59,29.97,794,85.31,20.0,3582
December,176,39.49,18.87,28.49,1739,93.49,45.76,1458
January,16,38.09,35.47,29.17,1325,99.69,34.97,8002
June,147,48.44,14.2,11.2,1388,95.36,39.31,2712
May,26,22.38,39.68,27.3,1998,97.32,21.84,8566
June,268,33.69,23.34,15.78,1672,94.28,31.39,7409
February,92,22.05,23.19,29.81,1808,84.58,25.6,6003
February,227,39.37,34.6,23.32,957,94.7,25.36,1542
May,20,43.92,34.52,28.69,616,91.98,21.46,4062
March,233,38.57,20.98,20.84,1663,90.4,42.7,1353
March,91,33.89,15.98,15.99,1045,99.93,35.82,6320
June,199,26.77,35.94,12.97,1847,91.93,37.22,7684
April,253,21.43,34.24,18.62,1023,91.55,27.57,7689
November,160,34.22,36.23,26.1,1276,82.6,20.26,3553
August,26,33.6,33.92,10.98,893,80.29,30.18,7025
May,68,47.61,28.41,29.35,758,85.71,23.23,1341
October,95,27.39,23.49,10.88,1128,92.24,47.98,2110
March,247,29.49,12.58,22.97,641,92.15,28.09,1675
April,83,20.17,23.03,24.52,519,94.26,32.45,4615
March,51,23.2,12.35,19.11,1348,91.8,44.52,8058
February,164,29.66,17.01,17.82,659,88.63,35.64,2846
June,278,33.68,16.98,30.0,1622,95.64,36.9,4369
August,282,28.22,28.1,19.34,1324,81.5,30.91,5090
November,80,21.93,13.57,11.8,1124,93.57,41.33,8401
April,20,42.04,30.36,13.39,689,82.14,34.07,7542
July,230,38.56,27.44,27.68,1670,91.4,39.78,9872
January,45,21.05,28.09,26.46,1995,99.29,35.83,9539
August,234,25.09,37.61,10.43,542,84.95,49.24,1889
October,84,48.16,13.12,10.5,824,94.86,29.03,5516
November,114,40.3,37.87,21.24,1978,90.38,21.59,2009
July,161,44.4,18.68,22.27,505,95.55,24.22,5441
August,128,48.15,35.39,23.34,1974,86.65,38.94,1211
February,227,24.91,15.11,17.88,1506,80.17,22.99,6428
August,249,23.26,35.22,22.2,1910,93.03,26.88,1386
February,277,40.7,34.68,26.91,1423,91.18,39.21,3477
April,169,33.29,27.47,28.74,1884,83.85,48.2,4480
March,72,47.12,31.84,28.29,999,89.58,41.03,3700
October,297,21.2,19.93,27.39,702,86.26,33.8,8838
December,238,36.9,38.1,13.96,1754,80.48,32.7,9438
November,267,33.44,12.93,29.33,1183,82.95,24.19,5152
September,293,24.96,10.31,27.84,1854,90.32,27.08,4803
January,16,44.26,21.78,20.38,1242,89.15,41.2,3445
April,236,47.82,39.78,25.42,1325,84.38,23.13,3108
February,121,42.77,13.94,25.77,1752,95.47,20.9,6007
May,92,34.3,33.18,29.69,1222,88.59,22.17,7195
June,103,29.66,37.94,14.99,1012,84.59,29.88,9653
March,288,46.97,29.89,10.06,1914,91.01,42.6,5982
April,208,28.16,28.37,27.44,908,99.69,38.54,7996
March,214,39.9,29.1,20.53,1601,86.1,40.27,7366
January,246,34.69,37.26,23.47,1635,81.52,44.68,5886
April,46,45.56,13.81,15.14,1663,80.11,24.45,1743
March,196,20.66,20.02,15.83,1583,80.5,37.84,6375
February,89,34.93,33.09,19.63,1206,90.09,20.28,2376
October,198,42.0,16.32,10.18,1833,98.01,28.53,5008
July,233,45.23,14.72,23.21,679,97.37,25.52,1939
March,129,29.1,21.24,12.99,500,99.32,42.28,8707
April,231,27.71,32.85,18.79,1100,94.64,42.61,7828
February,73,39.98,29.27,19.16,871,84.0,27.49,8905
October,112,26.75,22.94,17.32,681,97.61,40.18,1628
July,221,22.77,21.01,26.41,653,91.26,49.27,9829
March,141,42.85,39.68,26.32,769,98.85,24.08,6015
June,98,30.8,22.18,20.97,1317,99.65,32.04,6102
July,19,20.03,10.18,21.35,1103,86.32,41.53,6813
August,85,48.0,12.44,16.37,1030,87.67,41.37,4848
December,215,25.73,24.72,18.62,1763,82.5,47.55,2016
July,110,39.34,31.92,22.15,1392,95.56,28.11,7079
March,36,25.54,20.32,22.81,1928,84.03,38.42,8362
February,57,49.28,35.32,18.01,847,80.63,44.0,5324
June,231,43.0,38.79,25.27,1146,86.68,25.96,1885
December,170,22.64,18.06,26.37,1364,81.85,20.61,6514
December,230,48.71,40.0,14.35,1726,86.67,38.92,3915
February,180,29.44,28.4,26.44,1422,88.74,24.31,3786
September,97,24.84,22.85,11.68,523,94.5,40.47,6495
December,127,20.77,11.17,16.82,1876,97.9,24.55,7277
February,144,39.32,14.82,13.22,1345,84.63,40.69,2604
November,152,39.59,23.78,18.78,656,95.45,41.24,2376
December,293,26.53,24.25,16.36,726,95.69,28.79,5750
July,219,21.76,18.19,18.05,1581,90.71,41.09,7932
June,105,42.82,20.45,12.28,1862,85.57,28.29,2290
February,215,45.28,38.24,18.3,959,81.62,45.97,8076
October,90,34.93,30.35,13.82,1296,99.59,28.8,1508
May,180,21.18,24.14,15.52,787,84.97,49.92,8055
September,125,49.31,31.91,16.41,1172,90.23,25.86,9225
April,55,36.6,37.49,18.39,1949,96.5,22.23,2500
May,97,32.37,39.19,15.44,922,90.32,34.99,7635
September,113,28.21,24.86,14.47,775,93.68,20.12,4919
January,133,49.48,21.16,15.96,1910,95.26,44.71,8856
January,15,43.95,23.12,13.77,1173,91.86,46.63,3289
May,148,20.42,10.08,21.02,629,94.36,35.49,1714
September,104,34.11,19.54,29.66,1599,98.22,21.12,1353
August,142,26.85,25.73,12.8,621,95.58,42.69,7307
September,149,48.92,20.07,11.5,1984,92.6,32.54,2289
June,145,48.02,36.19,15.65,1157,89.36,36.93,4368
February,287,32.27,27.93,18.92,1685,81.19,36.46,2794
November,145,33.3,25.73,13.07,688,92.29,31.27,8373
September,196,32.58,33.31,27.46,1453,95.11,46.24,7175
April,15,28.42,10.32,28.44,1078,90.93,40.31,7508
August,107,41.96,15.17,23.39,609,91.33,35.01,9799
August,64,23.75,35.05,20.99,1161,95.79,26.55,5951
October,215,20.35,34.88,27.7,509,82.5,30.42,2086
April,286,35.24,36.53,28.58,1532,98.9,35.98,8478
February,49,25.09,20.64,28.33,1642,81.97,27.7,1522
September,45,39.92,20.51,19.94,1092,88.84,20.65,7304
June,207,31.51,34.86,10.62,879,86.7,29.38,7505
July,276,42.49,26.86,21.49,845,80.48,46.34,9173
June,38,27.56,28.19,14.09,743,92.78,28.91,5120
February,82,44.09,21.1,16.1,856,95.93,42.43,1317
March,227,20.82,22.29,29.88,1639,84.23,20.15,6247
April,215,24.29,37.03,13.85,1465,81.16,32.8,9470
February,296,33.82,26.4,20.87,1085,88.39,41.13,6075
December,146,43.97,23.35,27.55,1190,82.22,23.19,4974
September,150,49.47,33.04,10.8,1288,88.75,21.06,4723
September,292,35.29,22.11,12.36,567,97.89,38.24,9126
October,22,43.71,31.01,14.45,882,90.94,49.26,6046
October,297,22.29,36.79,19.0,1042,93.65,47.87,8557
June,113,36.19,15.83,27.48,1883,85.64,41.76,5279
June,41,46.1,17.02,25.14,869,84.59,20.62,9851
November,277,32.88,23.77,26.68,919,92.21,33.56,3248
February,206,30.54,27.18,16.69,1641,80.3,28.51,2460
August,177,31.69,17.32,10.83,732,81.41,32.8,2455
November,126,20.2,13.56,13.14,1536,91.09,46.43,7146
December,224,48.31,26.84,20.57,921,95.95,31.24,2977
December,121,37.03,36.5,15.23,1905,82.47,32.32,5052
January,94,45.71,17.13,11.82,511,84.35,48.1,6076
May,190,28.32,37.21,12.34,1855,98.34,28.56,6665
April,102,37.03,34.66,23.24,1947,93.96,27.46,7489
February,99,26.38,26.91,21.53,923,99.22,46.13,5489
April,88,40.3,31.31,18.64,1607,85.42,21.36,7335
November,134,30.76,14.97,13.27,1431,81.15,36.16,6081
March,118,30.8,32.14,12.23,740,98.98,25.86,3360
August,122,39.88,34.42,15.14,1966,91.11,35.36,5581
October,248,24.51,15.81,15.19,1688,85.91,31.37,6638
February,71,46.15,32.37,21.69,525,90.51,22.86,9228
January,14,21.33,16.62,13.31,1645,85.33,49.62,8880
February,153,30.66,25.34,23.22,1090,90.56,24.1,3113
July,252,28.57,15.25,21.33,539,80.86,29.76,5798
August,104,49.91,36.53,18.78,1792,88.0,40.25,1140
December,247,22.1,14.68,13.79,601,86.09,26.11,2916
April,256,43.62,21.44,20.67,1802,93.92,20.5,5476
June,185,20.23,27.83,20.22,794,89.95,40.91,4042
July,164,32.69,30.26,18.29,1041,83.03,20.33,5291
December,199,25.69,33.48,10.31,1284,96.55,35.49,2370
April,95,40.34,34.68,11.25,629,92.96,37.0,9969
July,29,31.22,28.78,11.75,1386,97.96,45.68,8187
February,213,20.58,19.18,10.74,1621,82.96,32.18,3351
September,239,43.55,18.08,13.49,1518,97.16,42.01,1000
June,271,39.62,33.67,14.64,601,94.75,24.4,7765
April,42,38.25,30.22,29.72,790,82.27,35.57,5911
December,197,26.39,17.1,22.5,665,93.9,43.98,1905
May,268,34.44,39.74,13.9,1297,94.83,31.94,7032
July,125,32.63,39.06,10.92,1321,83.07,35.55,6642
November,260,28.03,33.15,26.78,625,91.35,37.78,2928
December,197,22.85,30.98,28.4,1027,93.34,36.46,9952
July,253,36.98,31.03,20.57,995,93.3,27.41,5772
June,221,45.17,26.97,19.74,698,90.59,27.22,8459
September,196,31.58,12.39,12.94,523,81.62,30.49,1895
April,199,31.01,28.13,18.83,1298,96.13,36.09,6964
November,228,44.31,23.68,26.11,1432,89.48,26.0,2482
December,297,46.02,39.37,15.08,1966,96.43,21.1,5227
June,166,29.18,15.18,18.89,1207,96.54,43.62,8490
August,16,25.13,12.91,13.93,1832,95.77,22.39,5479
August,96,37.91,10.42,24.09,724,95.36,20.3,9577
August,112,40.4,23.69,17.57,1576,99.75,32.63,4972
September,298,46.39,29.71,16.41,1054,82.28,29.03,6864
May,36,36.54,17.92,16.71,1762,92.02,39.01,8051
July,37,36.68,38.24,15.98,1291,84.91,34.71,2403
August,265,26.91,13.34,10.41,1793,92.86,25.45,7453
October,90,23.76,36.32,11.77,1503,97.93,45.53,1598
November,231,22.03,31.23,21.64,1514,92.26,29.75,1053
April,214,42.89,22.48,25.26,1685,90.25,45.57,7244
October,284,34.84,33.35,21.26,1566,88.48,29.52,7299
November,124,35.95,16.64,17.03,964,81.27,42.84,6980
October,33,34.71,35.43,19.73,1618,83.57,38.41,5214
September,90,35.36,14.18,29.82,1880,92.72,26.64,4102
December,181,27.44,25.07,10.65,832,87.7,20.12,5461
February,15,48.06,30.39,25.69,1339,93.69,27.61,7474
May,85,26.75,11.47,17.74,1273,95.74,24.12,2846
May,163,39.69,11.63,11.04,1657,83.68,25.06,4090
July,24,22.35,21.95,23.0,717,99.68,48.12,3771
June,19,21.64,10.3,28.12,1544,97.89,38.05,7037
April,283,44.67,36.24,13.04,1691,97.02,20.29,7175
October,155,46.22,32.74,11.09,1915,95.45,43.09,2811
July,233,30.57,22.39,21.43,1287,94.48,48.76,3987
November,113,35.0,36.73,10.27,630,99.64,43.71,4573
December,182,35.15,18.31,21.27,817,98.33,32.12,5195
August,184,47.56,13.02,21.23,1446,81.74,45.3,2101
November,212,39.71,14.56,14.51,1299,88.67,26.16,1866
August,169,33.93,18.2,14.8,795,85.13,41.7,4897
February,179,44.99,28.02,16.4,1079,90.57,49.11,4117
August,14,30.11,27.75,16.26,1155,89.37,23.83,9596
April,74,38.5,33.88,23.52,1695,84.67,20.77,3448
July,134,36.03,14.83,24.66,989,98.11,44.75,8403
July,202,38.51,32.14,23.66,1214,91.34,28.71,4794
January,16,25.68,33.09,15.39,935,83.03,23.21,9553
April,220,27.01,26.46,10.59,897,85.41,36.4,7511
September,217,23.94,31.12,22.48,552,95.29,43.24,6533
September,17,34.95,38.78,19.71,1429,94.27,38.58,4428
January,236,33.98,18.98,12.26,1210,97.55,39.98,9126
November,292,43.43,31.13,16.62,1454,92.32,32.78,5783
March,129,35.97,24.14,17.64,1134,82.73,31.03,1279
March,153,25.31,14.77,29.8,1374,90.62,44.94,4117
December,72,41.49,26.63,11.38,1923,86.21,29.46,7767
August,20,46.46,30.57,10.94,1194,80.79,23.65,3286
June,220,30.6,15.09,21.28,539,90.37,26.81,5316
September,158,23.99,16.3,12.75,1909,97.07,33.7,5599
April,134,29.43,13.93,16.58,1078,80.35,35.69,2094
January,211,35.85,31.69,27.99,1500,99.78,25.32,5264
February,23,35.74,28.59,21.14,1150,95.97,34.9,3211
February,104,28.29,28.55,10.82,1010,91.46,44.09,3801
November,84,29.08,16.02,25.35,1956,83.4,25.61,2892
October,194,22.89,13.14,19.8,1410,99.4,49.17,6918
June,74,45.2,10.89,28.18,1702,89.33,27.28,5926
May,154,40.73,28.2,14.32,944,89.25,49.68,5427
June,113,38.12,36.42,19.25,1890,86.47,44.36,4634
July,155,30.91,23.03,19.65,1624,88.04,30.72,6868
August,118,32.42,29.37,19.27,1748,98.74,43.4,9010
April,123,34.42,31.05,17.51,733,95.52,46.5,4371
April,254,29.87,38.68,22.8,1742,93.22,32.95,3755
April,177,41.23,36.72,21.55,1014,93.92,30.9,2737
February,132,27.24,33.61,18.15,1239,83.79,42.18,7416
September,280,34.53,37.06,18.08,1153,96.26,23.66,9236
May,259,42.88,27.42,14.22,1556,87.6,20.28,2478
March,112,29.02,13.44,12.83,1868,91.51,41.9,8695
September,73,36.38,32.8,29.07,1654,82.48,20.69,2469
July,111,49.35,26.99,25.72,1759,83.03,36.79,8722
March,16,36.67,29.54,24.7,1640,97.84,26.82,8079
October,127,20.37,24.52,16.73,885,82.77,48.74,3664
May,110,44.46,33.41,12.74,1288,83.6,23.8,2444
June,68,37.63,39.12,14.31,1887,95.01,24.62,1223
April,253,23.22,11.58,10.63,1451,90.27,41.34,3458
November,57,22.83,26.55,27.64,1598,90.36,31.99,9399
March,286,30.93,23.88,21.8,611,81.52,34.75,4488
August,71,23.57,30.14,12.18,874,89.36,21.41,9301
April,158,20.6,33.34,27.77,898,81.9,33.68,9218
February,61,27.52,10.4,19.83,946,96.55,26.38,9512
October,49,26.59,22.01,28.16,1186,97.83,23.31,3924
September,157,35.49,37.3,24.45,1187,91.1,44.33,2156
March,113,35.45,18.26,23.06,1548,81.53,47.68,7829
March,252,27.8,25.43,12.19,1760,94.58,49.95,3071
October,123,23.02,32.83,19.68,1813,95.08,24.14,7036
May,218,45.33,28.42,26.54,837,85.36,23.93,5820
September,129,33.89,34.34,23.57,1069,83.41,29.59,2459
December,58,47.59,18.11,11.38,742,94.04,37.8,4138
June,177,29.48,23.13,25.5,970,91.21,21.1,4449
March,172,46.76,17.56,21.96,738,83.17,36.8,8202
December,266,41.25,38.63,22.27,1833,95.44,24.18,6722
December,12,21.62,39.45,19.58,824,95.01,32.31,3190
December,194,34.71,18.88,14.36,1277,95.62,45.89,8480
April,87,48.64,38.82,29.39,1525,94.17,41.97,9440
February,289,24.09,27.51,24.16,1885,89.66,41.17,3972
November,65,44.32,11.8,13.1,1408,87.96,49.69,7003
February,107,39.51,25.35,21.95,1241,99.1,31.98,4058
September,273,48.46,17.77,12.66,1547,88.05,36.17,2828
September,274,26.44,32.88,13.78,754,98.29,48.07,9109
August,194,49.19,26.37,29.67,1074,88.1,25.4,5327
October,102,37.27,10.12,10.68,967,82.03,44.1,9653
November,212,32.5,23.35,22.54,1834,95.73,38.99,1366
May,231,32.86,30.04,13.2,548,87.97,45.0,3046
September,224,25.47,34.26,14.65,571,87.82,21.64,4098
August,244,26.25,32.77,11.54,1900,91.68,21.79,9808
July,219,47.98,38.77,26.35,1961,90.3,39.5,7856
May,285,30.25,10.18,11.73,1256,84.1,28.82,9142
May,152,45.02,17.26,17.68,1179,96.57,33.86,9982
October,277,46.32,20.86,11.11,698,84.69,24.59,3136
December,181,45.41,39.32,23.59,1426,99.35,26.92,9832
December,202,21.06,13.17,24.06,831,92.7,26.65,7354
January,139,40.24,37.36,17.51,877,96.65,45.74,7706
April,187,37.96,26.78,19.18,1842,88.8,26.55,7319
February,102,29.3,22.74,24.12,501,97.1,42.01,7916
January,267,26.09,14.62,15.34,568,85.19,48.26,2520
February,287,45.34,26.86,11.36,1388,90.11,40.09,3398
May,57,42.84,37.64,18.39,1913,87.41,34.55,8378
October,116,21.03,16.77,19.81,740,88.0,31.03,1525
February,213,27.27,30.74,17.3,1088,85.09,20.71,9006
May,275,42.37,37.27,10.54,1742,92.41,22.27,3717
March,75,45.88,24.7,21.44,789,90.01,47.32,8782
February,90,24.85,24.41,28.06,889,84.87,22.79,6592
April,205,37.01,29.06,15.3,1966,88.31,40.15,4118
September,149,40.11,21.21,12.3,858,88.95,43.38,6765
May,133,31.95,13.53,29.76,1138,99.93,47.17,3207
September,214,47.72,36.9,12.07,752,93.73,29.09,6604
May,188,22.34,28.69,15.83,604,85.88,37.08,4548
December,126,34.47,35.08,28.93,865,96.56,39.43,2454
January,255,38.67,35.45,16.85,1040,96.07,37.78,1389
April,281,38.26,12.56,10.98,1495,88.84,27.62,4672
June,49,37.8,18.49,16.21,622,87.55,31.56,5746
November,14,29.34,28.97,14.17,1978,87.28,47.24,3842
October,122,32.7,15.26,18.89,1910,82.48,34.99,8740
September,160,29.27,16.04,18.26,1422,84.71,42.71,8243
April,181,30.28,30.38,15.38,1699,87.27,28.66,8825
April,78,40.29,10.43,15.84,1427,95.34,29.6,3237
October,31,44.67,19.2,17.45,1195,87.73,44.51,4264
June,201,23.5,26.75,10.28,1659,97.55,29.62,8663
April,127,43.62,27.69,21.36,1675,82.32,43.25,3191
December,258,20.39,23.04,14.58,1804,84.38,32.04,3627
September,227,33.82,21.29,28.64,674,83.29,45.45,7788
August,208,41.49,23.47,15.27,1546,81.42,34.92,3505
April,147,47.64,17.75,17.46,820,84.05,36.78,4210
September,283,46.6,29.7,17.08,1716,99.19,40.84,8903
September,284,41.7,14.0,28.09,920,83.61,28.87,5870
April,50,26.83,33.09,10.51,1598,95.31,36.84,4977
March,162,48.96,32.86,26.36,1760,97.4,29.76,8740
February,143,42.47,14.98,15.56,1228,85.05,39.04,3674
